1,1.353514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
2,1.353514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
3,-1.333514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
4,-1.333514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
5,1.353514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
6,1.353514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
7,-1.333514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
8,-1.333514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
9,1.353514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
10,5.701216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
11,4.357702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
12,4.357702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
13,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
14,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
15,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
16,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
17,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
18,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
19,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
20,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
21,3.527362R_{hombiscale}+R_{hombioffsetx},4.870876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
22,3.527362R_{hombiscale}+R_{hombioffsetx},4.870876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
23,1.353514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
24,1.353514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
25,1.353514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
26,4.357702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
27,4.357702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
28,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
29,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
30,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
31,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
32,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
33,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
34,0.010000R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
35,-1.333514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
36,-1.333514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
37,5.701216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
38,5.701216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
39,5.701216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
40,-4.337702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
41,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
42,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
43,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
44,3.527362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
45,-1.333514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
46,-1.333514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
47,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
48,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
49,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
50,-4.337702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
51,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
52,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
53,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
54,1.353514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
55,1.353514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
56,-5.681216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
57,-5.681216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
58,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
59,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
60,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
61,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
62,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
63,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
64,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
65,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
66,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
67,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
68,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
69,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-0.139124R_{hombiscale}+R_{hombioffsetz}
70,-3.507362R_{hombiscale}+R_{hombioffsetx},4.870876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
71,-3.507362R_{hombiscale}+R_{hombioffsetx},4.870876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
72,-3.507362R_{hombiscale}+R_{hombioffsetx},4.870876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
73,-3.507362R_{hombiscale}+R_{hombioffsetx},4.870876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
74,1.353514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
75,1.353514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
76,1.353514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
77,-5.681216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
78,-5.681216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
79,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
80,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
81,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
82,4.357702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
83,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
84,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
85,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
86,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
87,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
88,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
89,0.010000R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-9.860876R_{hombiscale}+R_{hombioffsetz}
90,-3.507362R_{hombiscale}+R_{hombioffsetx},-4.850876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
91,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
92,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
93,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
94,-5.681216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
95,-5.681216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
96,-5.681216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
97,-5.681216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
98,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
99,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
100,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
101,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
102,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
103,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
104,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
105,-3.507362R_{hombiscale}+R_{hombioffsetx},2.183854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
106,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
107,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
108,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
109,-1.333514R_{hombiscale}+R_{hombioffsetx},-5.681216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
110,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
111,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
112,-4.337702R_{hombiscale}+R_{hombioffsetx},-3.507362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
113,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
114,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
115,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}
116,-3.507362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-9.347702R_{hombiscale}+R_{hombioffsetz}




1,1.353514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
2,-1.333514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
3,-4.850876R_{hombiscale}+R_{hombioffsetx},0.010000R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
4,-1.333514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
5,4.870876R_{hombiscale}+R_{hombioffsetx},0.010000R_{hombiscale}+R_{hombioffsety},-8.517363R_{hombiscale}+R_{hombioffsetz}
6,1.353514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
7,-1.333514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
8,1.353514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
9,2.183854R_{hombiscale}+R_{hombioffsetx},4.357702R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
10,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
11,5.701216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
12,2.183854R_{hombiscale}+R_{hombioffsetx},4.357702R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
13,1.353514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},0.691216R_{hombiscale}+R_{hombioffsetz}
14,4.870876R_{hombiscale}+R_{hombioffsetx},0.010000R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
